AFFGEOID,Geography,Percent_below_poverty_level,Percent_with_public_health_coverage
0500000US06105,"Trinity County, California",19.9,31.2
0500000US06107,"Tulare County, California",27.1,19.3
0500000US06109,"Tuolumne County, California",13.6,28.8
0500000US06111,"Ventura County, California",10.3,14.8
0500000US06113,"Yolo County, California",19.4,12.6
0500000US06115,"Yuba County, California",18.5,15
0500000US08001,"Adams County, Colorado",12.2,10.9
0500000US08003,"Alamosa County, Colorado",27.8,16.6
0500000US08005,"Arapahoe County, Colorado",9.9,12.6
0500000US08007,"Archuleta County, Colorado",11.6,24.7
0500000US08009,"Baca County, Colorado",19.5,27.4
0500000US08011,"Bent County, Colorado",24.5,26
0500000US08013,"Boulder County, Colorado",13.1,13.2
0500000US08014,"Broomfield County, Colorado",5.2,12.4
0500000US08015,"Chaffee County, Colorado",9.6,26.9
0500000US08017,"Cheyenne County, Colorado",11.8,12.8
0500000US08019,"Clear Creek County, Colorado",6.8,18.9
0500000US08021,"Conejos County, Colorado",21.1,22.9
0500000US08023,"Costilla County, Colorado",29.6,33.7
0500000US08025,"Crowley County, Colorado",24.6,19.8
0500000US08027,"Custer County, Colorado",15.7,36.2
0500000US08029,"Delta County, Colorado",16.5,27.1
0500000US08031,"Denver County, Colorado",15.1,12.6
0500000US08033,"Dolores County, Colorado",14.1,26.7
0500000US08035,"Douglas County, Colorado",3.6,10.7
0500000US08037,"Eagle County, Colorado",7.7,9.9
0500000US08039,"Elbert County, Colorado",4.8,14.6
0500000US08041,"El Paso County, Colorado",11.1,13.7
0500000US08043,"Fremont County, Colorado",15.8,26.6
0500000US08045,"Garfield County, Colorado",9.6,12
0500000US08047,"Gilpin County, Colorado",5.6,18.5
0500000US08049,"Grand County, Colorado",13.1,15.8
0500000US08051,"Gunnison County, Colorado",14.1,12.1
0500000US08053,"Hinsdale County, Colorado",12,27.2
0500000US08055,"Huerfano County, Colorado",14.8,35.3
0500000US08057,"Jackson County, Colorado",12.8,21.3
0500000US08059,"Jefferson County, Colorado",7.8,15.9
0500000US08061,"Kiowa County, Colorado",10.6,21.2
0500000US08063,"Kit Carson County, Colorado",11.5,19.6
0500000US08065,"Lake County, Colorado",12.8,12.4
0500000US08067,"La Plata County, Colorado",9.6,16.6
0500000US08069,"Larimer County, Colorado",12.4,15.2
0500000US08071,"Las Animas County, Colorado",17,25.2
0500000US08073,"Lincoln County, Colorado",14,25.2
