AFFGEOID,Geography,Percent_below_poverty_level,Percent_with_public_health_coverage
0500000US21091,"Hancock County, Kentucky",15.7,20.1
0500000US21093,"Hardin County, Kentucky",14.2,16.2
0500000US21095,"Harlan County, Kentucky",35.6,24.3
0500000US21097,"Harrison County, Kentucky",16.4,20.3
0500000US21099,"Hart County, Kentucky",23.1,21.1
0500000US21101,"Henderson County, Kentucky",19.3,20.2
0500000US21103,"Henry County, Kentucky",18.2,19.5
0500000US21105,"Hickman County, Kentucky",14.8,29.4
0500000US21107,"Hopkins County, Kentucky",17.2,20.1
0500000US21109,"Jackson County, Kentucky",33,21
0500000US21111,"Jefferson County, Kentucky",15,17.2
0500000US21113,"Jessamine County, Kentucky",18,15.3
0500000US21115,"Johnson County, Kentucky",24.1,24
0500000US21117,"Kenton County, Kentucky",12.9,15.5
0500000US21119,"Knott County, Kentucky",32.6,23.9
0500000US21121,"Knox County, Kentucky",34.7,22
0500000US21123,"Larue County, Kentucky",15.8,22.4
0500000US21125,"Laurel County, Kentucky",24.6,21.2
0500000US21127,"Lawrence County, Kentucky",24.5,22
0500000US21129,"Lee County, Kentucky",32.7,25.5
0500000US21131,"Leslie County, Kentucky",34.5,23.8
0500000US21133,"Letcher County, Kentucky",30.5,24.5
0500000US21135,"Lewis County, Kentucky",26.1,21.2
0500000US21137,"Lincoln County, Kentucky",23.8,21.3
0500000US21139,"Livingston County, Kentucky",16.2,23.9
0500000US21141,"Logan County, Kentucky",17.4,22
0500000US21143,"Lyon County, Kentucky",14.1,31.9
0500000US21145,"McCracken County, Kentucky",17.1,22.4
0500000US21147,"McCreary County, Kentucky",41,23.2
0500000US21149,"McLean County, Kentucky",19.2,22.1
0500000US21151,"Madison County, Kentucky",19.5,16
0500000US21153,"Magoffin County, Kentucky",28.6,22.2
0500000US21155,"Marion County, Kentucky",18.4,20.3
0500000US21157,"Marshall County, Kentucky",10.8,24.8
0500000US21159,"Martin County, Kentucky",29.8,22.3
0500000US21161,"Mason County, Kentucky",18,19.9
0500000US21163,"Meade County, Kentucky",13.1,17
0500000US21165,"Menifee County, Kentucky",20.1,25.2
0500000US21167,"Mercer County, Kentucky",16.7,21.5
0500000US21169,"Metcalfe County, Kentucky",23.1,22.1
0500000US21171,"Monroe County, Kentucky",23.5,22.9
0500000US21173,"Montgomery County, Kentucky",23,18.7
0500000US21175,"Morgan County, Kentucky",25.6,23.4
0500000US21177,"Muhlenberg County, Kentucky",20.5,24.1
0500000US21179,"Nelson County, Kentucky",11.4,17.5
0500000US21181,"Nicholas County, Kentucky",27.8,19.2
0500000US21183,"Ohio County, Kentucky",21.3,22.1
0500000US21185,"Oldham County, Kentucky",5.6,13.4
0500000US21187,"Owen County, Kentucky",16.7,22.4
0500000US21189,"Owsley County, Kentucky",33,24
0500000US21191,"Pendleton County, Kentucky",15.1,20.6
0500000US21193,"Perry County, Kentucky",26.2,22.6
0500000US21195,"Pike County, Kentucky",26.4,24.9
0500000US21197,"Powell County, Kentucky",24.1,18.8
0500000US21199,"Pulaski County, Kentucky",25.2,23.2
0500000US21201,"Robertson County, Kentucky",30.4,26.9
0500000US21203,"Rockcastle County, Kentucky",21,21.3
0500000US21205,"Rowan County, Kentucky",26.7,17.4
0500000US21207,"Russell County, Kentucky",25.3,24.7
0500000US21209,"Scott County, Kentucky",11.5,12.7
0500000US21211,"Shelby County, Kentucky",12.4,16.9
0500000US21213,"Simpson County, Kentucky",17.4,21.2
0500000US21215,"Spencer County, Kentucky",8.7,14.4
0500000US21217,"Taylor County, Kentucky",23.1,22
0500000US21219,"Todd County, Kentucky",20.1,19.7
0500000US21221,"Trigg County, Kentucky",15.8,25.5
0500000US21223,"Trimble County, Kentucky",15.2,20.9
0500000US21225,"Union County, Kentucky",22.9,19.1
0500000US21227,"Warren County, Kentucky",18,14.6
0500000US21229,"Washington County, Kentucky",17,21.9
0500000US21231,"Wayne County, Kentucky",23.2,25.2
0500000US21233,"Webster County, Kentucky",21.4,21.9
0500000US21235,"Whitley County, Kentucky",25.2,20.1
0500000US21237,"Wolfe County, Kentucky",36.9,23.1
0500000US21239,"Woodford County, Kentucky",14.5,18
0500000US22001,"Acadia Parish, Louisiana",21.5,17.2
0500000US22003,"Allen Parish, Louisiana",16.6,20.1
0500000US22005,"Ascension Parish, Louisiana",11.7,12.5
0500000US22007,"Assumption Parish, Louisiana",15.7,20.4
0500000US22009,"Avoyelles Parish, Louisiana",23.7,18.8
0500000US22011,"Beauregard Parish, Louisiana",17.3,18.2
0500000US22013,"Bienville Parish, Louisiana",25.3,23.3
0500000US22015,"Bossier Parish, Louisiana",16.4,15.3
0500000US22017,"Caddo Parish, Louisiana",23.4,17.9
0500000US22019,"Calcasieu Parish, Louisiana",16.8,16.9
0500000US22021,"Caldwell Parish, Louisiana",26.2,21.7
0500000US22023,"Cameron Parish, Louisiana",8.7,16.5
0500000US22025,"Catahoula Parish, Louisiana",21.8,19.8
0500000US22027,"Claiborne Parish, Louisiana",29.9,22
0500000US22029,"Concordia Parish, Louisiana",31.2,20.6
0500000US22031,"De Soto Parish, Louisiana",26.3,20.4
0500000US22033,"East Baton Rouge Parish, Louisiana",19.1,14.2
0500000US22035,"East Carroll Parish, Louisiana",48.2,21.8
0500000US22037,"East Feliciana Parish, Louisiana",17.9,20.2
0500000US22039,"Evangeline Parish, Louisiana",26.4,19.9
0500000US22041,"Franklin Parish, Louisiana",28.8,20.1
0500000US22043,"Grant Parish, Louisiana",20.2,18.7
0500000US22045,"Iberia Parish, Louisiana",20.4,16.8
0500000US22047,"Iberville Parish, Louisiana",19.3,17.9
0500000US22049,"Jackson Parish, Louisiana",25.4,24
0500000US22051,"Jefferson Parish, Louisiana",16.3,17.8
0500000US22053,"Jefferson Davis Parish, Louisiana",19.6,19.2
0500000US22055,"Lafayette Parish, Louisiana",16.6,13.3
0500000US22057,"Lafourche Parish, Louisiana",16,17.1
0500000US22059,"LaSalle Parish, Louisiana",24.8,19
0500000US22061,"Lincoln Parish, Louisiana",31.2,13.5
0500000US22063,"Livingston Parish, Louisiana",13.2,14.6
0500000US22065,"Madison Parish, Louisiana",36.4,17.7
0500000US22067,"Morehouse Parish, Louisiana",27.6,21.3
0500000US22069,"Natchitoches Parish, Louisiana",31.9,17.5
0500000US22071,"Orleans Parish, Louisiana",25.4,15.9
0500000US22073,"Ouachita Parish, Louisiana",24.5,16.5
0500000US22075,"Plaquemines Parish, Louisiana",19.3,13.3
0500000US22077,"Pointe Coupee Parish, Louisiana",17.5,21.4
0500000US22079,"Rapides Parish, Louisiana",19.5,18
0500000US22081,"Red River Parish, Louisiana",20.4,19.5
0500000US22083,"Richland Parish, Louisiana",28.2,19.2
0500000US22085,"Sabine Parish, Louisiana",19.6,21.9
0500000US22087,"St. Bernard Parish, Louisiana",19.7,14.1
0500000US22089,"St. Charles Parish, Louisiana",12.2,14.1
0500000US22091,"St. Helena Parish, Louisiana",26.4,23.5
0500000US22093,"St. James Parish, Louisiana",15.6,18.2
0500000US22095,"St. John the Baptist Parish, Louisiana",17.9,14.7
0500000US22097,"St. Landry Parish, Louisiana",27.9,19.3
0500000US22099,"St. Martin Parish, Louisiana",17.7,16.8
0500000US22101,"St. Mary Parish, Louisiana",19.5,18.6
0500000US22103,"St. Tammany Parish, Louisiana",10.8,17
0500000US22105,"Tangipahoa Parish, Louisiana",21.9,17
0500000US22107,"Tensas Parish, Louisiana",38,24.3
0500000US22109,"Terrebonne Parish, Louisiana",20.1,15.8
0500000US22111,"Union Parish, Louisiana",22,21
0500000US22113,"Vermilion Parish, Louisiana",17.9,17.3
0500000US22115,"Vernon Parish, Louisiana",16.9,14.9
0500000US22117,"Washington Parish, Louisiana",26.3,22
0500000US22119,"Webster Parish, Louisiana",24.9,20.4
0500000US22121,"West Baton Rouge Parish, Louisiana",17.9,14.3
0500000US22123,"West Carroll Parish, Louisiana",22,20.7
0500000US22125,"West Feliciana Parish, Louisiana",12.5,17.2
0500000US22127,"Winn Parish, Louisiana",27.3,20.2
0500000US23001,"Androscoggin County, Maine",14.3,19.7
0500000US23003,"Aroostook County, Maine",17.5,25.6
0500000US23005,"Cumberland County, Maine",10.7,18.2
0500000US23007,"Franklin County, Maine",12.4,23.3
0500000US23009,"Hancock County, Maine",11.6,23.9
0500000US23011,"Kennebec County, Maine",14.1,21.2
0500000US23013,"Knox County, Maine",11.6,26.4
0500000US23015,"Lincoln County, Maine",11.8,28.1
0500000US23017,"Oxford County, Maine",15.2,23.8
0500000US23019,"Penobscot County, Maine",15.9,20.8
0500000US23021,"Piscataquis County, Maine",18.7,28.8
0500000US23023,"Sagadahoc County, Maine",11.3,22.7
0500000US23025,"Somerset County, Maine",17.8,24.5
0500000US23027,"Waldo County, Maine",14.3,23
0500000US23029,"Washington County, Maine",18.2,26.1
0500000US23031,"York County, Maine",8.5,20.5
0500000US24001,"Allegany County, Maryland",16.8,22.3
0500000US24003,"Anne Arundel County, Maryland",6.1,15
0500000US24005,"Baltimore County, Maryland",9.1,17.4
0500000US24009,"Calvert County, Maryland",5.7,14.4
0500000US24011,"Caroline County, Maryland",16.5,17.3
0500000US24013,"Carroll County, Maryland",5.5,16.2
0500000US24015,"Cecil County, Maryland",9.4,16
0500000US24017,"Charles County, Maryland",6.9,12.5
0500000US24019,"Dorchester County, Maryland",15.4,22.1
0500000US24021,"Frederick County, Maryland",7.2,14.2
0500000US24023,"Garrett County, Maryland",11.4,23.3
0500000US24025,"Harford County, Maryland",7.5,16.3
0500000US24027,"Howard County, Maryland",5.2,12.5
0500000US24029,"Kent County, Maryland",13.1,26.4
0500000US24031,"Montgomery County, Maryland",7,13.6
0500000US24033,"Prince George's County, Maryland",9.3,12.1
0500000US24035,"Queen Anne's County, Maryland",6.4,18.9
0500000US24037,"St. Mary's County, Maryland",8.2,12.4
0500000US24039,"Somerset County, Maryland",22.5,19.8
0500000US24041,"Talbot County, Maryland",10,27.5
0500000US24043,"Washington County, Maryland",12.8,18.7
0500000US24045,"Wicomico County, Maryland",15.9,15.9
0500000US24047,"Worcester County, Maryland",10.3,27.7
0500000US24510,"Baltimore city, Maryland",22.4,17.1
0500000US25001,"Barnstable County, Massachusetts",7.5,29.3
0500000US25003,"Berkshire County, Massachusetts",11.3,23.5
0500000US25005,"Bristol County, Massachusetts",12.2,17.8
0500000US25007,"Dukes County, Massachusetts",8.4,20.6
0500000US25009,"Essex County, Massachusetts",10.9,17.1
0500000US25011,"Franklin County, Massachusetts",10.9,21.9
0500000US25013,"Hampden County, Massachusetts",17.2,17.7
0500000US25015,"Hampshire County, Massachusetts",13.8,15.8
0500000US25017,"Middlesex County, Massachusetts",8.2,14.9
0500000US25019,"Nantucket County, Massachusetts",11.2,15.6
0500000US25021,"Norfolk County, Massachusetts",6.5,16.1
0500000US25023,"Plymouth County, Massachusetts",8,17.6
0500000US25025,"Suffolk County, Massachusetts",19.6,12.4
0500000US25027,"Worcester County, Massachusetts",11.1,15.7
0500000US26001,"Alcona County, Michigan",14.9,39.9
0500000US26003,"Alger County, Michigan",13,28.3
0500000US26005,"Allegan County, Michigan",10.8,17.3
0500000US26007,"Alpena County, Michigan",15,26.3
0500000US26009,"Antrim County, Michigan",12.6,28
0500000US26011,"Arenac County, Michigan",18.5,28
0500000US26013,"Baraga County, Michigan",14.4,27.9
0500000US26015,"Barry County, Michigan",9.3,19.8
0500000US26017,"Bay County, Michigan",16.3,22.3
0500000US26019,"Benzie County, Michigan",10,27.4
0500000US26021,"Berrien County, Michigan",17.2,21
0500000US26023,"Branch County, Michigan",15.9,20.1
0500000US26025,"Calhoun County, Michigan",17.4,20
0500000US26027,"Cass County, Michigan",13.6,22.2
0500000US26029,"Charlevoix County, Michigan",11.6,24.2
0500000US26031,"Cheboygan County, Michigan",16.8,27.7
0500000US26033,"Chippewa County, Michigan",17.1,21.3
0500000US26035,"Clare County, Michigan",23.6,28
0500000US26037,"Clinton County, Michigan",10.1,17.2
0500000US26039,"Crawford County, Michigan",16.4,29.4
0500000US26041,"Delta County, Michigan",14.4,24.8
0500000US26043,"Dickinson County, Michigan",15.2,23.1
0500000US26045,"Eaton County, Michigan",10.9,19.7
0500000US26047,"Emmet County, Michigan",10.7,21.8
0500000US26049,"Genesee County, Michigan",20,19.7
0500000US26051,"Gladwin County, Michigan",20.2,30.2
0500000US26053,"Gogebic County, Michigan",20.4,29.1
0500000US26055,"Grand Traverse County, Michigan",9.7,20.2
0500000US26057,"Gratiot County, Michigan",20.5,19.8
0500000US26059,"Hillsdale County, Michigan",17,21.3
0500000US26061,"Houghton County, Michigan",21.4,17.7
0500000US26063,"Huron County, Michigan",13.6,26.1
0500000US26065,"Ingham County, Michigan",20.9,14.6
0500000US26067,"Ionia County, Michigan",13.1,16.7
0500000US26069,"Iosco County, Michigan",16.9,33.3
0500000US26071,"Iron County, Michigan",14.2,32.5
0500000US26073,"Isabella County, Michigan",27.3,13.1
0500000US26075,"Jackson County, Michigan",15.2,20.2
0500000US26077,"Kalamazoo County, Michigan",16.7,16.1
0500000US26079,"Kalkaska County, Michigan",18.5,23.6
0500000US26081,"Kent County, Michigan",13.4,14.4
0500000US26083,"Keweenaw County, Michigan",14.5,35.4
0500000US26085,"Lake County, Michigan",25,33.3
0500000US26087,"Lapeer County, Michigan",9.7,19.3
0500000US26089,"Leelanau County, Michigan",7.7,29.2
0500000US26091,"Lenawee County, Michigan",13.7,19.8
0500000US26093,"Livingston County, Michigan",5.9,16.7
0500000US26095,"Luce County, Michigan",19.4,27.8
0500000US26097,"Mackinac County, Michigan",15.4,29
0500000US26099,"Macomb County, Michigan",11.8,18.1
0500000US26101,"Manistee County, Michigan",14.7,27.9
0500000US26103,"Marquette County, Michigan",16.4,20
0500000US26105,"Mason County, Michigan",16,24.3
0500000US26107,"Mecosta County, Michigan",22.5,20.2
0500000US26109,"Menominee County, Michigan",13.5,24.8
0500000US26111,"Midland County, Michigan",11.3,19.1
0500000US26113,"Missaukee County, Michigan",15.9,23.9
0500000US26115,"Monroe County, Michigan",11.2,18.5
0500000US26117,"Montcalm County, Michigan",17.5,20.1
0500000US26119,"Montmorency County, Michigan",15.1,37
0500000US26121,"Muskegon County, Michigan",18.5,19.4
0500000US26123,"Newaygo County, Michigan",17.8,21.9
0500000US26125,"Oakland County, Michigan",9,16.9
0500000US26127,"Oceana County, Michigan",17.5,23.1
0500000US26129,"Ogemaw County, Michigan",18.7,29
0500000US26131,"Ontonagon County, Michigan",15.5,38
0500000US26133,"Osceola County, Michigan",20.7,24.7
0500000US26135,"Oscoda County, Michigan",18.1,31.1
0500000US26137,"Otsego County, Michigan",14.9,23.2
0500000US26139,"Ottawa County, Michigan",9.5,14.9
0500000US26141,"Presque Isle County, Michigan",14.9,33.1
0500000US26143,"Roscommon County, Michigan",19.8,37.2
0500000US26145,"Saginaw County, Michigan",17.7,21.1
0500000US26147,"St. Clair County, Michigan",13.3,20.4
0500000US26149,"St. Joseph County, Michigan",15.7,19.4
0500000US26151,"Sanilac County, Michigan",15,22.8
0500000US26153,"Schoolcraft County, Michigan",21.4,28.7
0500000US26155,"Shiawassee County, Michigan",13.1,20.1
0500000US26157,"Tuscola County, Michigan",15.9,22.7
0500000US26159,"Van Buren County, Michigan",15.8,19.7
0500000US26161,"Washtenaw County, Michigan",14.5,13.8
0500000US26163,"Wayne County, Michigan",23.7,17.3
0500000US26165,"Wexford County, Michigan",17.3,22.4
0500000US27001,"Aitkin County, Minnesota",12.1,34.1
0500000US27003,"Anoka County, Minnesota",6.6,13.6
0500000US27005,"Becker County, Minnesota",12.7,20.9
0500000US27007,"Beltrami County, Minnesota",19,16.3
0500000US27009,"Benton County, Minnesota",14.1,14.2
0500000US27011,"Big Stone County, Minnesota",11.7,24.9
0500000US27013,"Blue Earth County, Minnesota",18.1,14.1
0500000US27015,"Brown County, Minnesota",8.1,20.7
0500000US27017,"Carlton County, Minnesota",12.1,18.1
0500000US27019,"Carver County, Minnesota",4,10.7
0500000US27021,"Cass County, Minnesota",15.3,26.8
0500000US27023,"Chippewa County, Minnesota",11.1,21.2
0500000US27025,"Chisago County, Minnesota",5.4,15.6
0500000US27027,"Clay County, Minnesota",12.5,13.9
0500000US27029,"Clearwater County, Minnesota",17.9,22.5
0500000US27031,"Cook County, Minnesota",13,27
0500000US27033,"Cottonwood County, Minnesota",15.6,22.9
0500000US27035,"Crow Wing County, Minnesota",9.6,23.1
0500000US27037,"Dakota County, Minnesota",6.9,13.4
0500000US27039,"Dodge County, Minnesota",5.7,14.2
0500000US27041,"Douglas County, Minnesota",8.4,22.9
0500000US27043,"Faribault County, Minnesota",11.5,23.3
0500000US27045,"Fillmore County, Minnesota",11.3,20
0500000US27047,"Freeborn County, Minnesota",11.8,23.2
0500000US27049,"Goodhue County, Minnesota",10.8,18.7
0500000US27051,"Grant County, Minnesota",10.6,24
0500000US27053,"Hennepin County, Minnesota",11.5,13.7
0500000US27055,"Houston County, Minnesota",8.9,20.5
0500000US27057,"Hubbard County, Minnesota",10.8,26
0500000US27059,"Isanti County, Minnesota",7.1,16
0500000US27061,"Itasca County, Minnesota",12.6,23.6
0500000US27063,"Jackson County, Minnesota",7.7,21.1
0500000US27065,"Kanabec County, Minnesota",11.6,22.1
0500000US27067,"Kandiyohi County, Minnesota",11.3,19.2
0500000US27069,"Kittson County, Minnesota",11.2,24.2
0500000US27071,"Koochiching County, Minnesota",17.1,25.3
0500000US27073,"Lac qui Parle County, Minnesota",9.3,26
0500000US27075,"Lake County, Minnesota",9.3,25.6
0500000US27077,"Lake of the Woods County, Minnesota",7.4,23.5
0500000US27079,"Le Sueur County, Minnesota",8.8,17.4
0500000US27081,"Lincoln County, Minnesota",11.4,24.1
0500000US27083,"Lyon County, Minnesota",13.7,15.3
0500000US27085,"McLeod County, Minnesota",8.4,18.7
0500000US27087,"Mahnomen County, Minnesota",22.7,18.4
0500000US27089,"Marshall County, Minnesota",7.8,21
0500000US27091,"Martin County, Minnesota",11.3,24.6
0500000US27093,"Meeker County, Minnesota",8.3,19.5
0500000US27095,"Mille Lacs County, Minnesota",11.5,19.1
0500000US27097,"Morrison County, Minnesota",11.4,19.5
0500000US27099,"Mower County, Minnesota",13,19.3
0500000US27101,"Murray County, Minnesota",8.2,25.6
0500000US27103,"Nicollet County, Minnesota",11.3,16
0500000US27105,"Nobles County, Minnesota",15.8,16.1
0500000US27107,"Norman County, Minnesota",12,22.1
0500000US27109,"Olmsted County, Minnesota",9.1,15
0500000US27111,"Otter Tail County, Minnesota",9.4,23.6
0500000US27113,"Pennington County, Minnesota",10.3,18.7
0500000US27115,"Pine County, Minnesota",13.6,22.5
0500000US27117,"Pipestone County, Minnesota",11.8,20.9
0500000US27119,"Polk County, Minnesota",12.4,18.8
0500000US27121,"Pope County, Minnesota",7.9,23.4
0500000US27123,"Ramsey County, Minnesota",15,14.6
0500000US27125,"Red Lake County, Minnesota",9.4,20.4
0500000US27127,"Redwood County, Minnesota",11.8,21
0500000US27129,"Renville County, Minnesota",11,20.5
0500000US27131,"Rice County, Minnesota",11.5,15.7
0500000US27133,"Rock County, Minnesota",11,20
0500000US27135,"Roseau County, Minnesota",9.2,16.8
0500000US27137,"St. Louis County, Minnesota",15.4,20
0500000US27139,"Scott County, Minnesota",5.6,9.9
0500000US27141,"Sherburne County, Minnesota",6.4,11
0500000US27143,"Sibley County, Minnesota",8.5,18.2
0500000US27145,"Stearns County, Minnesota",13.1,14.9
0500000US27147,"Steele County, Minnesota",9.9,18.1
0500000US27149,"Stevens County, Minnesota",15.4,17.7
0500000US27151,"Swift County, Minnesota",12.2,23.2
0500000US27153,"Todd County, Minnesota",13,22.1
0500000US27155,"Traverse County, Minnesota",10.9,26.4
0500000US27157,"Wabasha County, Minnesota",6.1,21.5
0500000US27159,"Wadena County, Minnesota",15,23
0500000US27161,"Waseca County, Minnesota",9.2,18.4
0500000US27163,"Washington County, Minnesota",5,14
0500000US27165,"Watonwan County, Minnesota",12.2,19.5
0500000US27167,"Wilkin County, Minnesota",9.9,19.1
0500000US27169,"Winona County, Minnesota",14.5,17
0500000US27171,"Wright County, Minnesota",5,12.4
0500000US27173,"Yellow Medicine County, Minnesota",12.5,20
0500000US28001,"Adams County, Mississippi",34.2,21.4
0500000US28003,"Alcorn County, Mississippi",19.6,22.4
0500000US28005,"Amite County, Mississippi",22.8,26.2
0500000US28007,"Attala County, Mississippi",22.6,23.8
0500000US28009,"Benton County, Mississippi",20.2,24
0500000US28011,"Bolivar County, Mississippi",37.4,18.1
0500000US28013,"Calhoun County, Mississippi",26.9,24.2
0500000US28015,"Carroll County, Mississippi",14,25.3
0500000US28017,"Chickasaw County, Mississippi",22.9,20
0500000US28019,"Choctaw County, Mississippi",24.5,25.7
0500000US28021,"Claiborne County, Mississippi",45.9,20.6
0500000US28023,"Clarke County, Mississippi",18.5,22.9
0500000US28025,"Clay County, Mississippi",26.6,20.6
0500000US28027,"Coahoma County, Mississippi",36.2,18.4
0500000US28029,"Copiah County, Mississippi",24.3,19.7
0500000US28031,"Covington County, Mississippi",23.1,18.6
0500000US28033,"DeSoto County, Mississippi",9.8,14
0500000US28035,"Forrest County, Mississippi",26.3,17
0500000US28037,"Franklin County, Mississippi",17.9,21.3
0500000US28039,"George County, Mississippi",14.7,16.8
0500000US28041,"Greene County, Mississippi",15.1,18.1
0500000US28043,"Grenada County, Mississippi",24.2,23
0500000US28045,"Hancock County, Mississippi",17.2,21.9
0500000US28047,"Harrison County, Mississippi",20.5,16.9
0500000US28049,"Hinds County, Mississippi",23.9,15.1
0500000US28051,"Holmes County, Mississippi",46.5,19.2
0500000US28053,"Humphreys County, Mississippi",40.5,19
0500000US28055,"Issaquena County, Mississippi",40.3,29.9
0500000US28057,"Itawamba County, Mississippi",18.4,23.4
0500000US28059,"Jackson County, Mississippi",15.3,17.7
0500000US28061,"Jasper County, Mississippi",22.8,24.4
0500000US28063,"Jefferson County, Mississippi",47,21.8
0500000US28065,"Jefferson Davis County, Mississippi",32.5,25.9
0500000US28067,"Jones County, Mississippi",21.6,20.2
0500000US28069,"Kemper County, Mississippi",31.8,24
0500000US28071,"Lafayette County, Mississippi",25.3,12.9
0500000US28073,"Lamar County, Mississippi",16.3,14.2
0500000US28075,"Lauderdale County, Mississippi",21.5,19.5
0500000US28077,"Lawrence County, Mississippi",19.8,21.5
0500000US28079,"Leake County, Mississippi",25.1,19
0500000US28081,"Lee County, Mississippi",17.3,16.8
0500000US28083,"Leflore County, Mississippi",40.3,17.8
0500000US28085,"Lincoln County, Mississippi",23.6,19.5
0500000US28087,"Lowndes County, Mississippi",21.1,18.5
0500000US28089,"Madison County, Mississippi",12,14.1
0500000US28091,"Marion County, Mississippi",25.9,21.1
0500000US28093,"Marshall County, Mississippi",17.8,18.9
0500000US28095,"Monroe County, Mississippi",19.2,22.5
0500000US28097,"Montgomery County, Mississippi",25.6,24.2
0500000US28099,"Neshoba County, Mississippi",22.1,18.3
0500000US28101,"Newton County, Mississippi",23,19.3
0500000US28103,"Noxubee County, Mississippi",34.9,20.3
0500000US28105,"Oktibbeha County, Mississippi",29.8,12.4
0500000US28107,"Panola County, Mississippi",20.5,19
0500000US28109,"Pearl River County, Mississippi",17.9,20.6
0500000US28111,"Perry County, Mississippi",19.9,22.1
0500000US28113,"Pike County, Mississippi",32.3,19.9
0500000US28115,"Pontotoc County, Mississippi",17,17.6
0500000US28117,"Prentiss County, Mississippi",22.5,24.3
0500000US28119,"Quitman County, Mississippi",37.5,21.9
0500000US28121,"Rankin County, Mississippi",8.5,16.1
0500000US28123,"Scott County, Mississippi",27.8,18.5
0500000US28125,"Sharkey County, Mississippi",29,20.2
0500000US28127,"Simpson County, Mississippi",27.1,21.1
0500000US28129,"Smith County, Mississippi",18.2,21.5
0500000US28131,"Stone County, Mississippi",17.3,17.7
0500000US28133,"Sunflower County, Mississippi",32.5,17.5
0500000US28135,"Tallahatchie County, Mississippi",28.3,23.4
0500000US28137,"Tate County, Mississippi",19.3,19.1
0500000US28139,"Tippah County, Mississippi",22.8,22.4
0500000US28141,"Tishomingo County, Mississippi",18.6,22.9
0500000US28143,"Tunica County, Mississippi",27,14
0500000US28145,"Union County, Mississippi",18.2,21.1
0500000US28147,"Walthall County, Mississippi",26.3,22.2
0500000US28149,"Warren County, Mississippi",23.7,19.1
0500000US28151,"Washington County, Mississippi",33.7,18.7
0500000US28153,"Wayne County, Mississippi",24.3,21.2
0500000US28155,"Webster County, Mississippi",25.3,23.1
0500000US28157,"Wilkinson County, Mississippi",38.7,21.3
0500000US28159,"Winston County, Mississippi",25.3,23.1
0500000US28161,"Yalobusha County, Mississippi",22.6,24.2
0500000US28163,"Yazoo County, Mississippi",36.5,19.4
0500000US29001,"Adair County, Missouri",26.2,15.5
0500000US29003,"Andrew County, Missouri",9,18.9
0500000US29005,"Atchison County, Missouri",12.1,25.9
0500000US29007,"Audrain County, Missouri",16.7,21
0500000US29009,"Barry County, Missouri",20.5,22.5
0500000US29011,"Barton County, Missouri",20.9,22.3
0500000US29013,"Bates County, Missouri",14.3,22
0500000US29015,"Benton County, Missouri",18.6,34.6
0500000US29017,"Bollinger County, Missouri",19.9,24.3
0500000US29019,"Boone County, Missouri",18.7,12.6
0500000US29021,"Buchanan County, Missouri",17.3,18
0500000US29023,"Butler County, Missouri",21.6,23.3
0500000US29025,"Caldwell County, Missouri",13.3,21.9
0500000US29027,"Callaway County, Missouri",12.3,18.7
0500000US29029,"Camden County, Missouri",17.5,30.2
0500000US29031,"Cape Girardeau County, Missouri",17.7,18
0500000US29033,"Carroll County, Missouri",18.4,24.5
0500000US29035,"Carter County, Missouri",14.5,24.4
0500000US29037,"Cass County, Missouri",9.5,16.9
0500000US29039,"Cedar County, Missouri",22.6,27.8
0500000US29041,"Chariton County, Missouri",14.2,26.6
0500000US29043,"Christian County, Missouri",10.4,17.1
0500000US29045,"Clark County, Missouri",15.3,22.2
0500000US29047,"Clay County, Missouri",8.9,14.8
0500000US29049,"Clinton County, Missouri",11,18.3
0500000US29051,"Cole County, Missouri",12.6,17
0500000US29053,"Cooper County, Missouri",11.2,19.5
0500000US29055,"Crawford County, Missouri",20,23.7
0500000US29057,"Dade County, Missouri",22.9,26.6
0500000US29059,"Dallas County, Missouri",15.7,23
0500000US29061,"Daviess County, Missouri",13.2,22.8
0500000US29063,"DeKalb County, Missouri",12.5,21.1
0500000US29065,"Dent County, Missouri",20.8,25.4
0500000US29067,"Douglas County, Missouri",20.6,28.5
0500000US29069,"Dunklin County, Missouri",26.6,21.9
0500000US29071,"Franklin County, Missouri",10.6,18.3
0500000US29073,"Gasconade County, Missouri",12,23.8
0500000US29075,"Gentry County, Missouri",18.1,21.7
0500000US29077,"Greene County, Missouri",18.5,18.2
0500000US29079,"Grundy County, Missouri",20.5,22.8
0500000US29081,"Harrison County, Missouri",18.3,23.5
0500000US29083,"Henry County, Missouri",21.2,24.4
0500000US29085,"Hickory County, Missouri",23.3,37.7
0500000US29087,"Holt County, Missouri",12,24.4
0500000US29089,"Howard County, Missouri",16.4,19.6
0500000US29091,"Howell County, Missouri",22.9,22.7
0500000US29093,"Iron County, Missouri",21.2,26
0500000US29095,"Jackson County, Missouri",15.9,16.1
0500000US29097,"Jasper County, Missouri",17.3,17
0500000US29099,"Jefferson County, Missouri",10.9,15.9
0500000US29101,"Johnson County, Missouri",16.2,14.1
0500000US29103,"Knox County, Missouri",20.2,24.2
0500000US29105,"Laclede County, Missouri",17.7,21.5
0500000US29107,"Lafayette County, Missouri",12.8,22.4
0500000US29109,"Lawrence County, Missouri",17.1,19.8
0500000US29111,"Lewis County, Missouri",15.2,18.9
0500000US29113,"Lincoln County, Missouri",13.2,15.5
0500000US29115,"Linn County, Missouri",16.5,23.7
0500000US29117,"Livingston County, Missouri",17.9,23
